,2022,2023,2024
cost_of_goods_sold,280274976.0,306211652.0,327336368.0
current_assets,135091714.0,167505632.0,175736397.0
current_liabilities,95093223.0,99465617.0,95997531.0
equity,328313674.0,352603379.0,396815387.0
financial_profit,319966.0,1960495.0,615236.0
gross_profit,54722055.0,79755047.0,108709785.0
net_income,38583746.0,61465701.0,87242802.0
other_profit,-588336.0,1074706.0,586906.0
profit_before_tax,43374341.0,68683708.0,97982776.0
revenue,335021482.0,385984407.0,436069641.0
total_assets,510451928.0,542128456.0,613972058.0
total_debt,182138254.0,189525076.0,217156671.0
roa,0.0755874233861254,0.11337848128008983,0.1420957205840791
roe,0.11752098391125798,0.17431965959690932,0.21985740689032304
debt_ratio,0.356817643364842,0.3495944068281854,0.35369145577631483
current_ratio,1.4206239912596086,1.6840556269811306,1.8306345503823427
gross_margin,0.1633389437397331,0.20662763975333334,0.24929455017942878
net_profit_margin,0.11516797600459543,0.15924400023755364,0.20006621373580097
revenue_growth,0.0,0.15211837968050057,0.12975973405060381
